year,mean_anomaly_mm,median_anomaly_mm,deficit_polygon_count,deficit_polygon_share,deficit_area_km2,deficit_area_share
2021,-64.53958141472336,-63.509301757812494,11310,0.9996464557185788,9910.165599611762,0.9999508578483366
2022,-10.06654217302901,-9.854198201497397,8091,0.7151316952448294,8111.519348638116,0.8184647016838772
2023,-38.05097833226239,-39.257715861002595,11151,0.9855930705320841,9898.277917418925,0.9987513725433663
2024,-58.456720452221276,-60.766883341471356,11304,0.9991161392964468,9908.953207694258,0.9998285256505773
2025,-20.6497985423556,-31.299300130208337,7401,0.6541453066996641,8539.620370229952,0.8616607491649886
